S.No. ,Email,Curriculum Progress,Quiz Score, Bonus Points, Total Score, % Score, badge,3123,3126,3136,3137,3138,3140,3141,3142,3143,3144
138,8e5d31db235045a3d55e6dcbc1df579a9cc7a63fb072405c2d836af0,10 out of 10 Course Completed,900 out of 1000,25,925,92.50%,platinum,90,85,95,100,65,100,100,100,80,85
139,74c7d2299a6389c90f0c19742667a6aac610fa5a6a667178301b21d8,10 out of 10 Course Completed,900 out of 1000,5,905,90.50%,platinum,75,90,90,95,80,100,100,90,85,95
140,382fbaedc2827945e6505ff03e070a2fc58b15b2e46eb062519cdcdb,2 out of 10 Course Completed,165 out of 200,0,165,82.50%,,na,na,80,na,na,na,na,na,85,na
141,32b354ce982c3115bf2e291cca4017b9fe1518d11c36cd367f43d2a9,10 out of 10 Course Completed,830 out of 1000,20,850,85.00%,gold,60,90,90,95,85,70,85,90,75,90
142,93c515d8eb390f388b89c4c1a8ffada2a5b1dfdaaca796601813eba2,10 out of 10 Course Completed,845 out of 1000,10,855,85.50%,,75,55,85,90,80,90,100,95,85,90
143,b5dd5bdeaae05d19e877e8afbb01c619b50cc09cbe505d94d3143c39,10 out of 10 Course Completed,890 out of 1000,35,925,92.50%,platinum,75,90,90,90,80,100,90,95,90,90
144,8230ae65298f266db7099df09fe95e9f14f0d1e599c6b43bbc62502b,10 out of 10 Course Completed,810 out of 1000,25,835,83.50%,,90,85,85,85,80,95,95,0,95,100
145,ec22f8fe65be20ebb5b12b95ad3b3652c10431b5c85cd875c2d5b3ed,10 out of 10 Course Completed,730 out of 1000,15,745,74.50%,,85,70,70,70,0,90,90,80,90,85
146,2c272e56a29052f3f770d5f6b47e7e9814d1fd18d7ef798de6c42e0f,10 out of 10 Course Completed,890 out of 1000,0,890,89.00%,gold,80,90,90,90,80,95,95,95,85,90
147,17e42165b7feab763ca9902f37639493a16c04e308d6f3b3a242e8d5,10 out of 10 Course Completed,885 out of 1000,30,915,91.50%,platinum,85,90,95,90,85,80,95,95,80,90
148,f41c9a49068caad3f244fe0e7169390f05b65abb09a1617e842d04f0,10 out of 10 Course Completed,905 out of 1000,0,905,90.50%,platinum,75,90,90,85,95,95,100,90,95,90
